,label,RMSE,MAE,MAPE,MASE
0,C1054 AS27138_SARIMA,26.68,22.67,inf,1.42
1,C1054 AS27138_Holt-Winters 3,41.65,35.24,inf,2.2
2,C1054 AS27138_FB Prophet,31.07,24.62,inf,1.54
0,C1055 AS27000_SARIMA,9.48,7.38,inf,0.72
1,C1055 AS27000_Holt-Winters 3,9.58,7.39,inf,0.72
2,C1055 AS27000_FB Prophet,16.88,13.04,inf,1.28
0,C1055 AS27132_SARIMA,3.32,2.81,inf,0.92
1,C1055 AS27132_Holt-Winters 3,4.59,2.33,inf,0.76
2,C1055 AS27132_FB Prophet,8.7,6.07,inf,1.98
0,C1055 AS27133_SARIMA,21.63,19.29,inf,2.06
1,C1055 AS27133_Holt-Winters 3,21.95,16.27,inf,1.74
2,C1055 AS27133_FB Prophet,23.0,17.81,inf,1.9
0,C1055 AS27134_SARIMA,22.82,17.52,inf,1.27
1,C1055 AS27134_Holt-Winters 3,19.47,11.16,inf,0.81
2,C1055 AS27134_FB Prophet,32.06,29.29,inf,2.12
0,C1055 AS27137_SARIMA,1.38,1.16,inf,0.84
1,C1055 AS27137_Holt-Winters 3,0.13,0.13,inf,0.1
2,C1055 AS27137_FB Prophet,4.35,2.34,inf,1.7
0,C1055 AS27138_SARIMA,5.01,3.12,inf,1.92
1,C1055 AS27138_Holt-Winters 3,4.66,1.7,inf,1.05
2,C1055 AS27138_FB Prophet,3.38,2.18,inf,1.34
0,C1056 AS27000_SARIMA,5.05,4.55,inf,1.1
1,C1056 AS27000_Holt-Winters 3,3.6,3.43,inf,0.83
2,C1056 AS27000_FB Prophet,8.79,7.4,inf,1.79
0,C1056 AS27132_SARIMA,3.02,2.84,inf,0.95
1,C1056 AS27132_Holt-Winters 3,3.17,1.98,inf,0.66
2,C1056 AS27132_FB Prophet,3.69,3.25,inf,1.08
0,C1056 AS27133_SARIMA,382.33,245.06,inf,12.61
1,C1056 AS27133_Holt-Winters 3,1227.49,778.24,inf,40.04
2,C1056 AS27133_FB Prophet,398.16,240.15,inf,12.35
0,C1056 AS27134_SARIMA,18.67,11.98,inf,2.86
1,C1056 AS27134_Holt-Winters 3,18.34,6.56,inf,1.57
2,C1056 AS27134_FB Prophet,19.57,11.59,inf,2.77
0,C1056 AS27137_SARIMA,1.04,0.77,inf,2.05
1,C1056 AS27137_Holt-Winters 3,0.98,0.36,inf,0.95
2,C1056 AS27137_FB Prophet,1.58,1.14,inf,3.03
0,C1056 AS27138_SARIMA,1.32,0.94,inf,0.89
1,C1056 AS27138_Holt-Winters 3,1.3,0.93,inf,0.87
2,C1056 AS27138_FB Prophet,2.23,1.48,inf,1.39
0,C1058 AS27000_SARIMA,9.33,8.83,inf,0.27
1,C1058 AS27000_Holt-Winters 3,0.0,0.0,inf,0.0
2,C1058 AS27000_FB Prophet,53.16,43.01,inf,1.31
0,C1058 AS27137_SARIMA,8.83,4.29,inf,0.15
1,C1058 AS27137_Holt-Winters 3,0.04,0.03,inf,0.0
2,C1058 AS27137_FB Prophet,54.88,45.34,inf,1.61
1,C1059 AS27000_Holt-Winters 3,50.74,36.55,30.7,1.95
0,C1059 AS27132_SARIMA,8.2,6.29,inf,2.46
2,C1059 AS27132_FB Prophet,12.1,9.64,inf,3.76
0,C1059 AS27133_SARIMA,34.51,29.74,35.61,2.63
0,C1059 AS27134_SARIMA,8.15,5.92,inf,0.88
1,C1059 AS27134_Holt-Winters 3,46.92,41.67,inf,6.2
2,C1059 AS27134_FB Prophet,30.25,26.92,inf,4.01
0,C1059 AS27137_SARIMA,4.1,3.07,60.09,1.76
0,C1059 AS27138_SARIMA,10.14,8.45,90.16,3.51
0,C1061 AS27000_SARIMA,50.49,41.4,inf,0.62
1,C1061 AS27000_Holt-Winters 3,43.14,37.86,inf,0.57
2,C1061 AS27000_FB Prophet,102.56,77.71,inf,1.17
0,C1061 AS27132_SARIMA,5.1,4.38,inf,0.38
1,C1061 AS27132_Holt-Winters 3,4.94,3.28,inf,0.29
2,C1061 AS27132_FB Prophet,19.69,16.61,inf,1.45
0,C1061 AS27133_SARIMA,82.51,73.08,inf,1.73
1,C1061 AS27133_Holt-Winters 3,125.21,99.41,inf,2.35
2,C1061 AS27133_FB Prophet,75.06,58.66,inf,1.39
0,C1061 AS27134_SARIMA,13.02,11.81,inf,0.77
1,C1061 AS27134_Holt-Winters 3,6.19,3.57,inf,0.23
2,C1061 AS27134_FB Prophet,24.11,20.69,inf,1.35
0,C1061 AS27137_SARIMA,5.69,4.71,inf,2.51
1,C1061 AS27137_Holt-Winters 3,8.04,4.93,inf,2.63
2,C1061 AS27137_FB Prophet,6.22,5.21,inf,2.78
0,C1061 AS27138_SARIMA,7.93,4.74,inf,1.43
1,C1061 AS27138_Holt-Winters 3,8.21,6.27,inf,1.89
2,C1061 AS27138_FB Prophet,4.66,3.78,inf,1.14
0,C1062 AS27000_SARIMA,124.77,94.18,inf,1.19
1,C1062 AS27000_Holt-Winters 3,121.17,81.88,inf,1.04
2,C1062 AS27000_FB Prophet,137.16,105.86,inf,1.34
0,C1062 AS27132_SARIMA,52.21,32.47,inf,3.4
1,C1062 AS27132_Holt-Winters 3,50.41,20.49,inf,2.14
2,C1062 AS27132_FB Prophet,49.13,28.15,inf,2.94
0,C1062 AS27133_SARIMA,29.68,25.05,inf,0.63
1,C1062 AS27133_Holt-Winters 3,43.09,21.66,inf,0.54
2,C1062 AS27133_FB Prophet,63.89,27.7,inf,0.7
0,C1062 AS27134_SARIMA,90.24,58.34,inf,0.72
1,C1062 AS27134_Holt-Winters 3,65.79,26.79,inf,0.33
2,C1062 AS27134_FB Prophet,131.57,111.33,inf,1.38
0,C1062 AS27137_SARIMA,23.59,21.21,inf,1.92
1,C1062 AS27137_Holt-Winters 3,25.95,13.62,inf,1.23
2,C1062 AS27137_FB Prophet,36.37,29.91,inf,2.71
0,C1062 AS27138_SARIMA,28.72,23.73,inf,1.62
1,C1062 AS27138_Holt-Winters 3,26.09,15.39,inf,1.05
2,C1062 AS27138_FB Prophet,33.2,26.74,inf,1.82
2,C1062 AS27139_FB Prophet,2.35,1.31,inf,4.19
0,C1063 AS27000_SARIMA,2.31,0.96,inf,inf
0,C1063 AS27133_SARIMA,11.89,6.8,inf,inf
0,C1063 AS27137_SARIMA,3.34,1.22,inf,inf
0,C1063 AS27138_SARIMA,1.43,0.89,inf,inf
0,C1066 AS27000_SARIMA,63.95,44.2,inf,0.48
1,C1066 AS27000_Holt-Winters 3,33.25,27.82,inf,0.3
2,C1066 AS27000_FB Prophet,85.49,67.76,inf,0.74
0,C1066 AS27132_SARIMA,8.28,5.89,inf,2.85
1,C1066 AS27132_Holt-Winters 3,7.57,4.87,inf,2.36
2,C1066 AS27132_FB Prophet,10.21,7.0,inf,3.39
0,C1066 AS27133_SARIMA,30.92,26.94,545.94,0.98
0,C1066 AS27134_SARIMA,16.91,13.22,37.74,0.37
0,C1066 AS27138_SARIMA,11.72,7.88,inf,2.02
